"Close","Close(-1)","Volume(-1)","return_diff_last_day"
66243.0,67383.0,2640400,-1140.0
67282.0,66243.0,2166400,1039.0
68146.0,67282.0,2518600,864.0
68012.0,68146.0,2254600,-134.0
67264.0,68012.0,1840000,-748.0
66041.0,67264.0,1407600,-1223.0
66685.0,66041.0,2375000,644.0
67169.0,66685.0,2491000,484.0
67005.0,67169.0,1874200,-164.0
66003.0,67005.0,2852200,-1002.0
66216.0,66003.0,3056800,213.0
66880.0,66216.0,1985000,664.0
66690.0,66880.0,2842800,-190.0
67578.0,66690.0,2557400,888.0
67796.0,67578.0,2357800,218.0
67533.0,67796.0,2145600,-263.0
67766.0,67533.0,1819800,233.0
67193.0,67766.0,2223800,-573.0
67419.0,67193.0,1444400,226.0
67997.0,67419.0,1768200,578.0
68587.0,67997.0,1859800,590.0
69268.0,68587.0,2124400,681.0
69704.0,69268.0,2397400,436.0
69838.0,69704.0,1200,134.0
69037.0,69838.0,0,-801.0
69176.0,69037.0,0,139.0
68718.0,69176.0,0,-458.0
68164.0,68718.0,2111400,-554.0
66896.0,68164.0,2173800,-1268.0
66486.0,66896.0,2525800,-410.0
66279.0,66486.0,2515200,-207.0
66684.0,66279.0,2259000,405.0
65415.0,66684.0,2145800,-1269.0
66158.0,65415.0,3060400,743.0
67058.0,66158.0,2214400,900.0
66972.0,67058.0,2397400,-86.0
67144.0,66972.0,1385800,172.0
66264.0,67144.0,1726600,-880.0
65673.0,66264.0,2151200,-591.0
66133.0,65673.0,3090000,460.0
65463.0,66133.0,2645000,-670.0
64318.0,65463.0,2306800,-1145.0
63616.0,64318.0,2235400,-702.0
63407.0,63616.0,2490000,-209.0
64417.0,63407.0,2806000,1010.0
64622.0,64417.0,2690000,205.0
64877.0,64622.0,1880800,255.0
63776.0,64877.0,1982600,-1101.0
64003.0,63776.0,2458400,227.0
63235.0,64003.0,2486800,-768.0
62830.0,63235.0,2667400,-405.0
63673.0,62830.0,2459600,843.0
62841.0,63673.0,2210800,-832.0
62367.0,62841.0,2488000,-474.0
62597.0,62367.0,2291200,230.0
62345.0,62597.0,2087000,-252.0
63337.0,62345.0,1767600,992.0
63388.0,63337.0,2006400,51.0
64099.0,63388.0,1918600,711.0
64295.0,64099.0,2397000,196.0
63954.0,64295.0,1672000,-341.0
64620.0,63954.0,629000,666.0
63411.0,64620.0,2428400,-1209.0
64218.0,63411.0,2158200,807.0
64341.0,64218.0,2135600,123.0
